decade,ano_filme_raw,ano_filme,numero_cerimonia,nome_ator,filme_indicado,role_raw,url_ator,url_filme,url_cerimonia,eh_vencedor,ceremony_label_raw
1920s,1927 / 28 (1st),1927,1,Emil Jannings,The Last Command,Grand Duke Sergius Alexander,https://en.wikipedia.org/wiki/Emil_Jannings,https://en.wikipedia.org/wiki/The_Last_Command_(1928_film),https://en.wikipedia.org/wiki/1st_Academy_Awards,True,(1st)
1920s,1927 / 28 (1st),1927,1,Emil Jannings,The Way of All Flesh,August Schilling,https://en.wikipedia.org/wiki/Emil_Jannings,https://en.wikipedia.org/wiki/The_Way_of_All_Flesh_(1927_film),https://en.wikipedia.org/wiki/1st_Academy_Awards,True,(1st)
1920s,1927 / 28 (1st),1927,1,Richard Barthelmess,The Noose,Nickie Elkins,https://en.wikipedia.org/wiki/Richard_Barthelmess,https://en.wikipedia.org/wiki/The_Noose_(film),https://en.wikipedia.org/wiki/1st_Academy_Awards,False,(1st)
1920s,1927 / 28 (1st),1927,1,Richard Barthelmess,The Patent Leather Kid,Patent Leather Kid,https://en.wikipedia.org/wiki/Richard_Barthelmess,https://en.wikipedia.org/wiki/The_Patent_Leather_Kid,https://en.wikipedia.org/wiki/1st_Academy_Awards,False,(1st)
1920s,1927 / 28 (1st),1927,1,Charlie Chaplin,The Circus,The Tramp,https://en.wikipedia.org/wiki/Charlie_Chaplin,https://en.wikipedia.org/wiki/The_Circus_(1928_film),https://en.wikipedia.org/wiki/1st_Academy_Awards,False,(1st)
1920s,1928 / 29 (2nd),1928,2,Warner Baxter,In Old Arizona,The Cisco Kid,https://en.wikipedia.org/wiki/Warner_Baxter,https://en.wikipedia.org/wiki/In_Old_Arizona,https://en.wikipedia.org/wiki/2nd_Academy_Awards,True,(2nd)
1920s,1928 / 29 (2nd),1928,2,George Bancroft,Thunderbolt,Thunderbolt Jim Lang,https://en.wikipedia.org/wiki/George_Bancroft_(actor),https://en.wikipedia.org/wiki/Thunderbolt_(1929_film),https://en.wikipedia.org/wiki/2nd_Academy_Awards,False,(2nd)
1920s,1928 / 29 (2nd),1928,2,Chester Morris,Alibi,Chick Williams,https://en.wikipedia.org/wiki/Chester_Morris,https://en.wikipedia.org/wiki/Alibi_(1929_film),https://en.wikipedia.org/wiki/2nd_Academy_Awards,False,(2nd)
1920s,1928 / 29 (2nd),1928,2,Paul Muni,The Valiant,James Dyke,https://en.wikipedia.org/wiki/Paul_Muni,https://en.wikipedia.org/wiki/The_Valiant_(1929_film),https://en.wikipedia.org/wiki/2nd_Academy_Awards,False,(2nd)
1920s,1928 / 29 (2nd),1928,2,Lewis Stone,The Patriot,Count Pahlen,https://en.wikipedia.org/wiki/Lewis_Stone,https://en.wikipedia.org/wiki/The_Patriot_(1928_film),https://en.wikipedia.org/wiki/2nd_Academy_Awards,False,(2nd)
1930s,1929 / 30 (3rd),1929,3,George Arliss,Disraeli,Benjamin Disraeli,https://en.wikipedia.org/wiki/George_Arliss,https://en.wikipedia.org/wiki/Disraeli_(1929_film),https://en.wikipedia.org/wiki/3rd_Academy_Awards,True,(3rd)
1930s,1929 / 30 (3rd),1929,3,George Arliss,The Green Goddess,The Raja,,https://en.wikipedia.org/wiki/The_Green_Goddess_(1930_film),https://en.wikipedia.org/wiki/3rd_Academy_Awards,False,(3rd)
1930s,1929 / 30 (3rd),1929,3,Wallace Beery,The Big House,"Butch ""Machine Gun"" Schmidt",https://en.wikipedia.org/wiki/Wallace_Beery,https://en.wikipedia.org/wiki/The_Big_House_(1930_film),https://en.wikipedia.org/wiki/3rd_Academy_Awards,False,(3rd)
1930s,1929 / 30 (3rd),1929,3,Maurice Chevalier,The Big Pond,Pierre Mirande,https://en.wikipedia.org/wiki/Maurice_Chevalier,https://en.wikipedia.org/wiki/The_Big_Pond,https://en.wikipedia.org/wiki/3rd_Academy_Awards,False,(3rd)
1930s,1929 / 30 (3rd),1929,3,Maurice Chevalier,The Love Parade,Count Alfred Renard,https://en.wikipedia.org/wiki/Maurice_Chevalier,https://en.wikipedia.org/wiki/The_Love_Parade,https://en.wikipedia.org/wiki/3rd_Academy_Awards,False,(3rd)
1930s,1929 / 30 (3rd),1929,3,Ronald Colman,Bulldog Drummond,"Capt. Hugh ""Bulldog"" Drummond",https://en.wikipedia.org/wiki/Ronald_Colman,https://en.wikipedia.org/wiki/Bulldog_Drummond_(1929_film),https://en.wikipedia.org/wiki/3rd_Academy_Awards,False,(3rd)
1930s,1929 / 30 (3rd),1929,3,Ronald Colman,Condemned,Michel,https://en.wikipedia.org/wiki/Ronald_Colman,https://en.wikipedia.org/wiki/Condemned_(1929_film),https://en.wikipedia.org/wiki/3rd_Academy_Awards,False,(3rd)
1930s,1929 / 30 (3rd),1929,3,Lawrence Tibbett,The Rogue Song,Yegor,https://en.wikipedia.org/wiki/Lawrence_Tibbett,https://en.wikipedia.org/wiki/The_Rogue_Song,https://en.wikipedia.org/wiki/3rd_Academy_Awards,False,(3rd)
1930s,1930 / 31 (4th),1930,4,Lionel Barrymore,A Free Soul,Stephen Ashe,https://en.wikipedia.org/wiki/Lionel_Barrymore,https://en.wikipedia.org/wiki/A_Free_Soul,https://en.wikipedia.org/wiki/4th_Academy_Awards,True,(4th)
1930s,1930 / 31 (4th),1930,4,Jackie Cooper,Skippy,Skippy Skinner,https://en.wikipedia.org/wiki/Jackie_Cooper,https://en.wikipedia.org/wiki/Skippy_(film),https://en.wikipedia.org/wiki/4th_Academy_Awards,False,(4th)
1930s,1930 / 31 (4th),1930,4,Richard Dix,Cimarron,Yancey Cravat,https://en.wikipedia.org/wiki/Richard_Dix,https://en.wikipedia.org/wiki/Cimarron_(1931_film),https://en.wikipedia.org/wiki/4th_Academy_Awards,False,(4th)
1930s,1930 / 31 (4th),1930,4,Fredric March,The Royal Family of Broadway,Tony Cavendish,https://en.wikipedia.org/wiki/Fredric_March,https://en.wikipedia.org/wiki/The_Royal_Family_of_Broadway,https://en.wikipedia.org/wiki/4th_Academy_Awards,False,(4th)
